User_Query,Expected_URL,Expected_Ans,Expected_Title
What is a new car loan?,https://www.idfcfirstbank.com/personal-banking/loans/car-loan#faqs,A new car loan is availed to help your purchase your dream car at affordable monthly EMIs.,What is a new car loan?
What is the best way to apply for a new car loan?,https://www.idfcfirstbank.com/personal-banking/loans/car-loan#faqs,You can click here to apply for a car loan online or apply through the IDFC FIRST Bank Mobile Banking App or give us a missed call at 8448986445.,What is the best way to apply for a new car loan?
Why should I get new car loan from IDFC FIRST Bank?,https://www.idfcfirstbank.com/personal-banking/loans/car-loan#faqs,"With an industry-first 10-year loan tenure program, competitive interest rates and zero foreclosure charges on floating interest rates, IDFC FIRST Bank enables you to buy your dream car with a comfortable and affordable payment schedule and without stressing your monthly budget.",Why should I get new car loan from IDFC FIRST Bank?
What is the Car Loan Interest Rate that IDFC FIRST Bank offers?,https://www.idfcfirstbank.com/personal-banking/loans/car-loan#faqs,"With a car loan interest rate starting at as low as 9%* per annum, IDFC FIRST Bank enables you to buy your dream car without stressing your finances.",What is the Car Loan Interest Rate that IDFC FIRST Bank offers?
What is the maximum tenure for a car loan that IDFC FIRST Bank offers?,https://www.idfcfirstbank.com/personal-banking/loans/car-loan#faqs,The maximum tenure for car loan can be up to 10 years basis your credit score and Bank's internal policies.,What is the maximum tenure for a car loan that IDFC FIRST Bank offers?
What is the maximum loan amount that IDFC FIRST Bank offers on a car loan?,https://www.idfcfirstbank.com/personal-banking/loans/car-loan#faqs,The maximum amount you can avail on a car loan is Rs. 2 Crores basis your credit score and Bank's internal policies.,What is the maximum loan amount that IDFC FIRST Bank offers on a car loan?
Can I get 100% funding on a new car loan?,https://www.idfcfirstbank.com/personal-banking/loans/car-loan#faqs,"Yes, you can get a new car loan of up to 100% of the ex-showroom price of your new car basis your credit score and Bank's internal policies.",Can I get 100% funding on a new car loan?
How much time does it take to process a new car loan?,https://www.idfcfirstbank.com/personal-banking/loans/car-loan#faqs,It takes just 1 day to sanction your new car loan and further 2 days to process the payment after all the relevant documents have been provided.,How much time does it take to process a new car loan?
How can I check the tentative car EMI before I apply for the loan?,https://www.idfcfirstbank.com/personal-banking/loans/car-loan#faqs,A key factor in getting a car loan is determining how much EMI you are comfortable paying. We suggest you use our Car Loan EMI calculator,How can I check the tentative car EMI before I apply for the loan?
How does fixed or floating rates impact my car loan EMI?,https://www.idfcfirstbank.com/personal-banking/loans/car-loan#faqs,"When you choose a floating rate of interest, your car loan EMI may fluctuate during the tenure of your loan basis repo rate changes by RBI. However, in a fixed rate of interest, the EMI will remain the same throughout the tenure of your loan.",How does fixed or floating rates impact my car loan EMI?
How can I get my No-Objection Certificate (NOC) after loan repayment?,https://www.idfcfirstbank.com/personal-banking/loans/car-loan#faqs,"Post your car loan repayment, we will dispatch the No-Objection Certificate (NOC) to your address. If for some reason you have not received your NOC, you can also visit any of our branches. Our representative will assist you in getting a physical copy of your NOC.",How can I get my No-Objection Certificate (NOC) after loan repayment?
Is it possible to get life insurance along with my loan?,https://www.idfcfirstbank.com/personal-banking/loans/car-loan#faqs,"Yes, you can get life insurance at the time of taking your car loan. IDFC FIRST Bank makes it simple to get insurance because you will be able to pay your premium amount along with the loan amount EMIs. This cuts down the need to pay a huge, one-time premium at the time of purchasing your vehicle. We also ensure that the insurance policies you get have the best possible terms and are made available to you at competitive prices.",Is it possible to get life insurance along with my loan?
How can I get my Statement of Accounts?,https://www.idfcfirstbank.com/personal-banking/loans/car-loan#faqs,You can get your statement of account from IDFC FIRST Bank's Loan Statement Page or WhatsApp Banking - +91 95555 55555,How can I get my Statement of Accounts?
What is the difference between repurchase and refinance/loan against car?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-car-loan#faqs,"Repurchase is when the loan is availed for the purchase of a pre-owned car, it is a repurchase loan.

A Refinance Loan/Loan against Car is when the loan is availed on an existing car owned by the applicant to avail funds for financial needs.",What is the difference between repurchase and refinance/loan against car?
Why should I get a pre-owned car loan from IDFC FIRST Bank?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-car-loan#faqs,"With the first-in-industry instant approval process with waivers in verifications and valuation, IDFC FIRST Bank provides an opportunity to buy your dream car without stressing your finances.",Why should I get a pre-owned car loan from IDFC FIRST Bank?
Why should I get a loan against car/refinance loan from IDFC FIRST Bank?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-car-loan#faqs,"With the first-in-industry instant approval process, IDFC FIRST Bank provides an opportunity to avail a loan against car that is twice your car's current value to solve your financial needs at affordable rates.",Why should I get a loan against car/refinance loan from IDFC FIRST Bank?
How much time does it take to process a pre-owned car loan?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-car-loan#faqs,It takes 1 day to sanction the loan and further 2 days to process the payment after all the relevant documents have been provided.,How much time does it take to process a pre-owned car loan?
How much loan can I get on repurchase of a pre-owned car?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-car-loan#faqs,You can get loan up to 100% of the valuation of your desired pre-owned car basis your credit score and Bank's internal assessment criteria.,How much loan can I get on repurchase of a pre-owned car?
How much loan can I get against a pre-owned car?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-car-loan#faqs,You can get loan of up to 200% of the valuation of your pre-owned car basis your credit score and Bank's internal assessment criteria.,How much loan can I get against a pre-owned car?
What are special offers by IDFC FIRST Bank pre-owned car loan/loan against car?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-car-loan#faqs,"Re-purchase:

Rate of Interest: Starting as low as 11.49%* per annum
Tenure: up to 7 years
Loan Amount: From ₹1 Lakh up to ₹1 Cr
Funding: Up to 100% of the valuation of the car
 

Re-finance/Loan against Car: 
Rate of Interest: Starting as low as 13.99%* per annum
Tenure: Up to 5 years
Loan Amount: From ₹1 Lakh up to ₹50 lakhs
Funding: Up to 200% of the valuation of the car",What are special offers by IDFC FIRST Bank pre-owned car loan/loan against car?
What is the maximum loan amount and tenure I can get for repurchase pre-owned car loan?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-car-loan#faqs,"The maximum amount you can avail is ₹1 Cr and maximum tenure can be up to 7 years basis your credit score and Bank's internal policies

",What is the maximum loan amount and tenure I can get for repurchase pre-owned car loan?
What is the best way to apply for a pre-owned car loan?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-car-loan#faqs,You can click here to apply online or apply through mobile app of IDFC FIRST Bank or give us a missed call at 1800 10 888 and our representative will get in touch with you.,What is the best way to apply for a pre-owned car loan?
What are the benefits of availing a pre-owned car loan from IDFC FIRST Bank?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-car-loan#faqs,"Our range of car loan products is designed keeping your needs and preferences in mind, offering a seamless and efficient financing experience. Here's why choosing IDFC FIRST Bank for your pre-owned car purchase is a wise decision:

Repurchase Loans

• 100% Loan-to-Value Ratio: Enjoy the flexibility of financing the entire value of your chosen pre-owned car

• Same Day Disbursal (Up to Rs.25,00,000): Swift and hassle-free loan processing ensures you can drive away with your dream car on the same day

• Attractive Rate of Interest at 10.49%: Benefit from competitive interest rates, making your car ownership journey affordable

• Wide Range of Certified Cars: Choose from a diverse selection of certified and verified cars available through our trusted partner dealerships across India

• Flexible loan terms: Tenure of up to 7 years, offering extended flexibility for budget-friendly repayments on your used car purchase

Refinance Loans

• Up to 200% Financing of Car Value: Obtain the financial support you need by refinancing up to 200% of your existing car's value

• Same Day Disbursal (Up to Rs.25,00,000): Experience quick and seamless loan disbursal, allowing you to address your financial requirements promptly

• Attractive Rate of Interest at 13.49%: Our refinance loans come with competitive interest rates, ensuring a cost-effective solution for your financial needs

• Flexible tenure: Tenures of up to 5 years, ensuring a seamless and manageable repayment plan for your refinanced car loan

Choosing IDFC FIRST Bank for your pre-owned car financing needs means partnering with a trusted ally committed to simplifying your car ownership journey. With a focus on transparency, quick processing, and attractive interest rates, we stand out as the preferred choice for savvy car buyers.

Applying for a car loan with IDFC FIRST Bank is designed to be a hassle-free and secure experience. Follow these steps, and you'll be on your way to owning your dream car in no time. If you have any additional questions or need further assistance, our team is ready to help—simply reach out to us for personalized support.",What are the benefits of availing a pre-owned car loan from IDFC FIRST Bank?
What is the eligibility criteria and documents required for a pre-owned car loan from IDFC FIRST Bank?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-car-loan#faqs,"Considering a pre-owned car loan with IDFC FIRST Bank? Here's a breakdown of the eligibility criteria and documents you'll need:

Eligibility Criteria

Indian Citizenship: Applicants must be Indian citizens.

Age Requirement: You should be at least 21 years old.

Income Criteria

Salaried Individuals: A minimum monthly income of Rs. 25,000 is required.

Self-Employed Individuals: An annual income of Rs. 1,50,000 or more is necessary.

Vehicle and Ownership Documents

Driving License and Vehicle Registration: When it comes to vehicle documents, you need a valid driving license and the registration certificate of the vehicle you're purchasing or using as collateral.

Identity Proof

You can choose from the multiple identify proof options and provide either your PAN card, Aadhaar card, passport, or voter ID.

Address Proof

You can choose from multiple address proof options and submit either a bank statement, electricity bill, telephone bill, or rent agreement as your address proof.

Income Proof

Choose from the diverse income proof options and furnish a salary slip, income tax return, or bank statement as proof of income.

Applying for IDFC FIRST Bank Pre-Owned Car Loans – A Seamless Process

Meet these eligibility criteria and gather the required documents for a smooth and efficient pre-owned car loan application with IDFC FIRST Bank.",What is the eligibility criteria and documents required for a pre-owned car loan from IDFC FIRST Bank?
What is a Two Wheeler Loan?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"A two wheeler loan helps you purchase a motorcycle or a scooter of your choice, and pay for it in equated monthly instalments (EMIs). Our loans are available for both salaried and self-employed individuals.",What is a Two Wheeler Loan?
How do I know if I am eligible for a Two Wheeler Loan?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"The Two Wheeler Loan Interest Rate offered for salaried as well as self-employed persons by IDFC FIRST Bank is one of the best in the market. We carry out an assessment and inform you whether you meet our eligibility criteria so you can get access to our best two wheeler loan interest rate. You should ideally meet the following criteria: You should be above 21 years of age (18 years with co-applicant). Apart from these stipulations, you will need to provide some documentation.",How do I know if I am eligible for a Two Wheeler Loan?
Do I need to make a down payment or pay margin money?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"Yes, but be rest assured that at IDFC FIRST Bank, the down payment for a two wheeler loan is just a small amount you need to pay at the vehicle dealership, and is only the difference between on the on-road price of the two wheeler amount and the loan sanctioned to you. Once you get a Two Wheeler Loan online approval, you will be able to get up to 95% of the vehicle's cost as a loan at our best two wheeler loan interest rate. ",Do I need to make a down payment or pay margin money?
