ID,User_Query,Expected_UrL,Expected_Ans,Expected_Title,,,,,,,
1,What is a Savings Account?,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,"A Savings Account is a financial tool offered by banks to help save money, and earn interest on the same. Since you have 24x7 access to your savings account, you can deposit your money anytime and withdraw it whenever you need funds, making it a completely liquid savings instrument. In addition, an IDFC FIRST Bank Savings Account helps you earn interest every month which can help you cover your daily, weekly, and monthly expenses and help you in your journey of wealth creation.",What is a Savings Account?,,,,,,,
2,How does the monthly interest credit for savings account work?,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,"For the convenience of our customers, the Bank will credit interest to customers’ accounts on a monthly basis. The earlier facility of interest credit on quarterly basis on savings accounts will be discontinued from June 30, 2021. The Bank is among the few in the industry to offer monthly interest credit on savings accounts.",How does the monthly interest credit for savings account work?,,,,,,,
3,How can one choose the best savings bank account?,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,"Choose and compare Accounts offered by retail banks based on the best interest rates, terms and conditions and services offered. The IDFC FIRST Bank offers industry-best interest rates of up to 6.75%. So, you can save more, do more, and live life to the fullest.",How can one choose the best savings bank account?,,,,,,,
4,What is the frequency of Savings Account interest pay-out?,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,"IDFC FIRST Bank credits interest monthly in your Savings Account, and is one of the first universal banks to do so as compared to the quarterly interest credit by most major banks. Hence you get interest on interest and earn more with the power of monthly compounding.",What is the frequency of Savings Account interest pay-out?,,,,,,,
5,What is the initial pay-in amount required for opening your IDFC FIRST Bank Savings Account?,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,"A minimum amount of ₹25,000 or ₹10,000 is required, depending on the account type you wish to open  to open . You can choose to open a savings account with higher amount to earn better interest.",What is the initial pay-in amount required for opening your IDFC FIRST Bank Savings Account?,,,,,,,
6,What is the minimum account balance required to be maintained monthly in the IDFC FIRST Bank Savings Account?,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,"The average monthly balance (AMB) with IDFC FIRST Bank required is as follows depending on the variant:
 
· ₹25,000 AMB OR

· ₹10,000 AMB
Please click here to see the applicable Schedule of Charges.",What is the minimum account balance required to be maintained monthly in the IDFC FIRST Bank Savings Account?,,,,,,,
7,How is the average monthly balance calculated of my savings account?,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,"Every day, from the 1st to the end of the month, we take the balance in your savings account at the end of the day. We total them all up and divide by the number of days in the month. That’s it!",How is the average monthly balance calculated of my savings account?,,,,,,,
8,What are the charges levied for non-maintenance of the average monthly balance of the savings account?,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,Nominal non-maintenance charges are levied for not maintaining average monthly balance on your savings account. Click here to know more about the applicable non-maintenance charges on your Savings Account.,What are the charges levied for non-maintenance of the average monthly balance of the savings account?,,,,,,,
9,What are the modes through which one can track IDFC FIRST Bank Savings Account?,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,"Being one of the leading banks for savings accounts in India, we offer multiple methods to track your IDFC FIRST Bank Savings Account. Here are a few ways:

Mobile Banking, Mobile App, Internet banking, WhatsApp and we send monthly email statements to your registered email ID.  ",What are the modes through which one can track IDFC FIRST Bank Savings Account?,,,,,,,
10,How can I learn more about my IDFC FIRST Bank 6.25% interest savings account?,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,"IDFC FIRST Bank's Savings Account is our testament to putting our customers first. We offer up to 6.75% p.a interest rates on savings account.

What's more, you earn this interest on progressive balances in each interest rate slab, as applicable. That means you earn every single day. We pay out this interest every month.

Hurry! Make the most of this unique opportunity. Click here to know more.

Please note that savings account interest rates are subject to periodic change.",How can I learn more about my IDFC FIRST Bank 6.25% interest savings account?,,,,,,,
11,Why IDFC FIRST Bank is the best for a savings account?,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,"IDFC FIRST Bank offers attractive interest rates on savings accounts. Interest is credited monthly into your account, helping you earn regular income. In addition, you can open an account online with IDFC FIRST Bank instantly via video KYC.",Why IDFC FIRST Bank is the best for a savings account?,,,,,,,
12,What are the fees and charges for savings account,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,Find out about our minimal and transparent fees & charges.View Fees & Charges ,What are the fees and charges for savings account,,,,,,,
13,What are the steps to open an online savings account?,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,"Follow the steps given below to open account online with IDFC FIRST Bank:
https://my.idfcfirstbank.com/apply/savings





",What are the steps to open an online savings account?,,,,,,,
14,Am I eligible to open a savings account,https://www.idfcfirstbank.com/personal-banking/accounts/savings-account#faqs,"
If you are an Indian citizen Or Resident of India Or Foreign nationals residing in India and meeting GOI criteria, You are eligible to open an savings account with us ",Am I eligible to open a savings account,,,,,,,
15,What is the initial pay-in amount required to open a Salary Account?,https://www.idfcfirstbank.com/personal-banking/accounts/corporate-salary-account#faqs,"The IDFC FIRST Bank Salary Account is a no-worry account as long as your salary is credited every month – No minimum balance, No monthly fee. Bank like a boss!",What is the initial pay-in amount required to open a Salary Account?,,,,,,,
16,What happens if salary credit from employer is not received in the account for more than 2 months?,https://www.idfcfirstbank.com/personal-banking/accounts/corporate-salary-account#faqs,"You can continue the account as a Savings Account, with the necessary balance required for to make the most out of the account.",What happens if salary credit from employer is not received in the account for more than 2 months?,,,,,,,
